nf	ni	stddev	nstars	line1	line2	ele1	ele2	c0	c1	c2	c3  teffa teffb rata ratb meanr nfit
     0     2   118   421   6142.49   6154.23   SiI   NaI    4559.25    1199.75       0.00       0.00  4556  6260  0.08  1.43  0.75  1
     1     6   100   422   6160.75   6142.49   NaI   SiI    6654.30   -5475.45    5555.65   -2018.73  4578  6374  1.19 14.73  2.55  6
     2     7   100   418   6145.02   6160.75   SiI   NaI    4379.30    1912.25       0.00       0.00  4578  6260  0.08  0.95  0.57  1
     3     9   115   413   4730.04   4675.11   MgI   TiI    3879.30    1038.35       0.00       0.00  4556  6276  0.68  2.30  1.51  1
     4    10   105   423   4730.04   4722.61   MgI   TiI    4718.21    1765.87       0.00       0.00  4556  6276  0.84  6.87  2.93  5
     5    20    98   426   6319.24   6251.83   MgI    VI    5420.43    1242.69       0.00       0.00  4578  6276  0.17  5.47  1.38  5
     6    21   107   407   6319.24   6274.66   MgI    VI    5183.00    1090.71       0.00       0.00  4556  6276  0.24 11.52  2.26  5
     7    22   105   424   6319.24   6285.17   MgI    VI    5255.01    1172.57       0.00       0.00  4556  6276  0.22  6.97  1.90  5
     8    29   104   420   6318.72   6251.83   MgI    VI    5253.08    1166.83       0.00       0.00  4556  6227  0.25  6.72  1.94  5
     9    30   112   410   6318.72   6274.66   MgI    VI    5047.59    1028.81       0.00       0.00  4556  6287  0.24 17.33  3.26  5
    10    31   109   422   6318.72   6285.17   MgI    VI    5107.95    1092.48       0.00       0.00  4556  6276  0.32 12.48  2.76  5
    11    34    89   428   5517.54   5520.50   SiI   ScI    5324.60    1475.32     731.08     144.52  4556  6287  0.24  2.86  1.33  6
    12    36    86   428   5517.54   5490.16   SiI   TiI    4410.40    3828.14   -3572.31    1562.85  4671  6374  0.09  1.11  0.46  2
    13    38    70   433   5621.60   5671.82   SiI   ScI    6278.18    3278.27    3338.57    1810.20  4578  6403  0.11  1.02  0.48  6
    14    42    59   421   5621.60   5670.85   SiI    VI    6173.80    1404.35       0.00       0.00  4649  6361  0.06  1.25  0.39  5
    15    45    82   431   5645.61   5671.82   SiI   ScI    5246.99    1166.04     622.41      89.15  4556  6271  0.10  3.73  1.65  6
    16    49    64   421   5645.61   5670.85   SiI    VI    5438.66    1185.20     157.78     -82.56  4595  6374  0.17  4.67  1.35  6
    17    50    70   419   5645.61   5703.59   SiI    VI    5665.80    1518.84       0.00       0.00  4595  6374  0.17  2.71  0.88  5
    18    57    91   431   5684.49   5670.85   SiI    VI    5223.69    1055.16       0.00       0.00  4556  6374  0.18  8.94  2.31  5
    19    58    96   425   5684.49   5703.59   SiI    VI    5338.55    1375.26       0.00       0.00  4556  6287  0.26  4.62  1.49  5
    20    59    76   425   5684.49   5727.05   SiI    VI    5478.70    1384.06       0.00       0.00  4556  6374  0.20  3.69  1.18  5
    21    60   103   421   5684.49   5737.07   SiI    VI    5076.42     932.14       0.00       0.00  4556  6289  0.23 15.89  3.58  5
    22    62   103   430   5690.43   5671.82   SiI   ScI    5145.80    1027.24     346.24      12.99  4556  6271  0.21  5.41  2.28  6
    23    66    81   426   5690.43   5670.85   SiI    VI    5319.33    1093.38       0.00       0.00  4556  6374  0.21  7.32  1.84  5
    24    67    86   424   5690.43   5703.59   SiI    VI    5471.80    1417.70       0.00       0.00  4556  6374  0.22  4.24  1.20  5
    25    68    65   421   5690.43   5727.05   SiI    VI    5615.80    1413.04       0.00       0.00  4556  6374  0.16  2.97  0.94  5
    26    69    94   422   5690.43   5737.07   SiI    VI    5161.18     944.49       0.00       0.00  4556  6289  0.17 12.36  2.85  5
    27    70   107   418   5690.43   5748.36   SiI   NiI    5146.93    2303.10       0.00       0.00  4624  6287  0.57  3.29  1.50  5
    28    71    92   431   5701.11   5671.82   SiI   ScI    5251.47    1084.01     450.51      89.72  4556  6227  0.15  3.94  1.75  6
    29    75    76   430   5701.11   5670.85   SiI    VI    5419.93    1116.13     162.65     -68.02  4578  6374  0.13  5.14  1.44  6
    30    76    84   425   5701.11   5703.59   SiI    VI    5631.95    1419.52       0.00       0.00  4578  6374  0.17  2.98  0.93  5
    31    77    69   428   5701.11   5727.05   SiI    VI    4454.60    2207.00   -1130.12     246.49  4578  6374  0.10  2.09  0.75  2
    32    78    89   423   5701.11   5737.07   SiI    VI    5238.55     959.84     153.32    -107.23  4556  6289  0.16  8.58  2.20  6
    33    79   105   430   5701.11   5748.36   SiI   NiI    5403.32    2275.46       0.00       0.00  4556  6403  0.35  2.90  1.16  5
    34    81    63   422   5753.64   5739.48   SiI   TiI    4879.30    1216.03       0.00       0.00  4556  6361  0.39 13.16  3.78  5
    35    82    80   424   5753.64   5703.59   SiI    VI    5524.38    1544.59       0.00       0.00  4556  6361  0.22  3.04  1.09  5
    36    83    70   422   5753.64   5727.05   SiI    VI    5676.45    1511.48       0.00       0.00  4578  6403  0.16  2.88  0.88  5
    37    84    75   416   5753.64   5737.07   SiI    VI    5173.92    1009.10       0.00       0.00  4556  6374  0.20 14.34  2.56  5
    38    85   101   421   5753.64   5748.36   SiI   NiI    5183.75    2608.20       0.00       0.00  4556  6361  0.61  3.07  1.37  5
    39    88    89   424   5772.15   5703.59   SiI    VI    5433.22    1407.93       0.00       0.00  4556  6374  0.21  4.26  1.27  5
    40    89    72   416   5772.15   5727.05   SiI    VI    5574.28    1401.24       0.00       0.00  4578  6374  0.18  3.07  1.02  5
    41    90    92   421   5772.15   5737.07   SiI    VI    5128.22     959.27       0.00       0.00  4556  6289  0.21 13.56  3.03  5
    42    98   107   400   5797.87   5853.15   SiI   FeI    4814.34    1261.60       0.00       0.00  4556  6271  0.35 12.15  3.92  5
    43    99   110   421   5948.54   5965.84   SiI   TiI    4945.60    1583.29       0.00       0.00  4556  6218  0.30  7.74  2.39  5
    44   100   104   422   5948.54   5978.55   SiI   TiI    4862.71    1570.19       0.00       0.00  4578  6289  0.64  8.20  2.82  5
    45   107    64   414   6125.02   6064.63   SiI   TiI    5201.08     829.41     248.19      15.98  4578  6361  0.14 10.13  2.67  6
    46   108    87   420   6125.02   6091.18   SiI   TiI    5293.71    1165.41     686.02     232.09  4578  6361  0.15  4.63  1.57  6
    47   109    66   416   6125.02   6126.22   SiI   TiI    5521.49    1339.05     585.96     112.51  4578  6374  0.10  3.17  1.10  6
    48   110    76   422   6125.02   6081.45   SiI    VI    5355.75     985.93     349.08      75.79  4578  6374  0.11  5.50  1.68  6
    49   111    80   422   6125.02   6090.21   SiI    VI    4607.93    1559.09    -475.79      50.83  4578  6361  0.02  2.28  0.78  2
    50   112    72   416   6125.02   6111.65   SiI    VI    5319.32     820.42     224.98      55.00  4578  6361  0.09  7.90  2.13  6
    51   113    75   415   6125.02   6135.36   SiI    VI    5266.47     833.26     232.92      54.11  4578  6361  0.12  7.90  2.31  6
    52   115   116   416   6125.02   6128.98   SiI   NiI    4588.42     826.32       0.00       0.00  4556  6289  0.07  2.24  1.09  1
    53   116   118   412   6125.02   6177.25   SiI   NiI    5124.57    1620.63       0.00       0.00  4556  6374  0.43  5.32  1.96  5
    54   119    90   377   6125.02   6120.25   SiI   FeI    4929.09     779.13     267.51      11.50  4578  6161  0.39 11.66  4.36  6
    55   122    92   418   6142.49   6156.02   SiI   CaI    5015.40    1057.60     642.97    -331.58  4556  6361  0.18  7.83  2.56  6
    56   126    70   433   6142.49   6091.18   SiI   TiI    4525.39     976.53    -240.58      26.01  4556  6361  0.11  4.53  1.53  2
